Datum,Schlusskurs,Tageshoch,Tagestief
29.06.2016,1458.93,1471.78,1458.48
28.06.2016,1455.91,1467.19,1443.05
27.06.2016,1454.63,1469.83,1448.09
24.06.2016,1448.55,1472.39,1433.94
23.06.2016,1430.82,1437.08,1426.45
22.06.2016,1441.68,1443.46,1439.03
21.06.2016,1452.70,1458.04,1443.81
20.06.2016,1431.03,1445.18,1430.59
17.06.2016,1431.36,1437.57,1423.82
16.06.2016,1428.57,1444.60,1422.78
15.06.2016,1443.29,1447.73,1425.53
14.06.2016,1433.03,1436.78,1422.33
13.06.2016,1401.36,1421.30,1388.74
10.06.2016,1408.83,1412.83,1397.59
09.06.2016,1414.31,1429.77,1388.69
08.06.2016,1409.90,1411.33,1375.46
07.06.2016,1366.48,1378.81,1359.21
06.06.2016,1371.64,1372.08,1362.18
03.06.2016,1362.40,1369.88,1354.92
02.06.2016,1404.11,1415.76,1380.62
01.06.2016,1391.92,1403.99,1386.42
31.05.2016,1400.59,1402.84,1389.81
27.05.2016,1402.03,1407.21,1391.46
26.05.2016,1392.71,1396.73,1379.31
25.05.2016,1385.35,1393.20,1383.87
24.05.2016,1401.90,1406.39,1386.65
23.05.2016,1372.43,1391.14,1367.53
20.05.2016,1397.70,1398.37,1378.41
19.05.2016,1382.34,1382.79,1375.65
18.05.2016,1374.13,1387.06,1367.89
17.05.2016,1363.92,1376.96,1363.03
16.05.2016,1361.35,1373.94,1360.02
13.05.2016,1365.41,1369.83,1357.22
12.05.2016,1367.91,1382.64,1354.95
11.05.2016,1377.68,1378.77,1368.93
10.05.2016,1373.67,1376.97,1366.50
09.05.2016,1383.20,1400.55,1368.71
06.05.2016,1415.61,1415.61,1398.51
05.05.2016,1417.61,1433.09,1405.77
04.05.2016,1418.87,1427.58,1414.74
03.05.2016,1434.54,1463.68,1420.49
29.04.2016,1463.27,1467.63,1452.78
28.04.2016,1453.18,1466.96,1440.62
27.04.2016,1454.12,1458.09,1437.78
26.04.2016,1453.67,1465.40,1452.34
25.04.2016,1465.58,1468.37,1455.82
22.04.2016,1463.38,1484.32,1453.14
21.04.2016,1451.23,1458.54,1430.85
20.04.2016,1416.56,1437.36,1398.20
19.04.2016,1379.01,1397.63,1377.42
18.04.2016,1374.72,1387.67,1367.21
15.04.2016,1369.64,1381.82,1369.20
14.04.2016,1387.04,1393.70,1372.39
13.04.2016,1374.92,1388.67,1364.50
12.04.2016,1339.69,1347.15,1320.15
11.04.2016,1321.14,1337.15,1320.71
08.04.2016,1324.03,1333.86,1316.14
07.04.2016,1323.75,1338.04,1316.72
06.04.2016,1320.08,1338.73,1319.65
05.04.2016,1334.56,1354.99,1333.51
04.04.2016,1349.31,1357.21,1348.21
01.04.2016,1347.64,1356.20,1337.33
31.03.2016,1318.63,1336.12,1314.02
30.03.2016,1314.84,1331.16,1311.75
29.03.2016,1314.11,1327.62,1311.90
24.03.2016,1323.91,1334.20,1319.44
23.03.2016,1336.40,1346.69,1322.99
22.03.2016,1338.71,1353.63,1336.39
21.03.2016,1346.74,1358.30,1345.40
18.03.2016,1349.84,1368.03,1339.19
17.03.2016,1353.95,1364.12,1338.49
16.03.2016,1358.89,1359.79,1345.07
15.03.2016,1366.71,1390.56,1364.91
14.03.2016,1389.01,1409.28,1383.61
11.03.2016,1402.17,1408.90,1396.34
10.03.2016,1401.09,1411.83,1386.33
09.03.2016,1434.03,1437.66,1418.11
08.03.2016,1422.60,1451.67,1414.43
07.03.2016,1450.62,1456.97,1427.92
04.03.2016,1441.81,1450.89,1423.64
03.03.2016,1439.27,1457.08,1436.53
02.03.2016,1463.61,1466.83,1450.72
01.03.2016,1452.89,1460.71,1439.55
29.02.2016,1444.32,1459.94,1434.67
26.02.2016,1428.05,1447.26,1424.39
25.02.2016,1413.86,1432.46,1409.78
24.02.2016,1427.21,1430.39,1396.81
23.02.2016,1404.46,1435.31,1399.93
22.02.2016,1428.57,1434.01,1402.72
19.02.2016,1394.18,1395.08,1372.17
18.02.2016,1371.08,1374.23,1361.63
17.02.2016,1371.11,1372.46,1358.08
16.02.2016,1371.88,1380.86,1362.90
15.02.2016,1349.22,1366.24,1349.22
12.02.2016,1333.07,1336.18,1320.63
11.02.2016,1311.42,1323.79,1310.53
10.02.2016,1316.84,1329.25,1309.75
09.02.2016,1313.88,1347.09,1311.66
08.02.2016,1343.42,1352.80,1333.60
05.02.2016,1346.89,1378.26,1342.86
04.02.2016,1371.88,1379.46,1364.29
03.02.2016,1374.18,1376.88,1357.94
02.02.2016,1372.08,1401.37,1372.08
01.02.2016,1398.20,1400.50,1380.75
29.01.2016,1400.15,1420.00,1398.76
28.01.2016,1382.75,1397.37,1379.55
27.01.2016,1400.15,1401.06,1369.89
26.01.2016,1377.36,1377.82,1352.51
25.01.2016,1363.80,1370.25,1358.27
22.01.2016,1375.13,1390.41,1372.35
21.01.2016,1362.26,1363.64,1342.01
20.01.2016,1350.32,1357.21,1344.81
19.01.2016,1358.72,1383.47,1355.97
18.01.2016,1364.43,1372.23,1345.61
15.01.2016,1349.43,1356.30,1343.48
14.01.2016,1368.28,1368.74,1349.87
13.01.2016,1339.95,1345.92,1333.98
12.01.2016,1336.53,1350.82,1336.07
11.01.2016,1348.15,1366.57,1341.71
08.01.2016,1365.68,1369.79,1347.37
07.01.2016,1346.03,1358.85,1329.55
06.01.2016,1368.53,1372.70,1351.83
05.01.2016,1366.60,1393.56,1360.55
04.01.2016,1359.40,1382.94,1352.47
31.12.2015,1387.79,1414.49,1384.11
30.12.2015,1403.08,1405.36,1383.40
29.12.2015,1398.17,1418.76,1386.73
24.12.2015,1405.91,1425.97,1397.70
23.12.2015,1414.56,1415.02,1391.18
22.12.2015,1376.59,1388.00,1372.93
21.12.2015,1391.26,1396.76,1382.55
18.12.2015,1385.59,1386.97,1358.91
17.12.2015,1361.20,1372.28,1354.74
16.12.2015,1369.47,1374.06,1346.08
15.12.2015,1351.17,1361.68,1344.76
14.12.2015,1352.15,1357.15,1340.79
11.12.2015,1351.98,1374.26,1346.52
10.12.2015,1361.52,1364.72,1347.81
09.12.2015,1352.33,1364.13,1344.62
08.12.2015,1353.71,1367.02,1342.69
07.12.2015,1370.94,1402.79,1368.63
04.12.2015,1392.13,1400.40,1358.58
03.12.2015,1354.20,1358.77,1336.81
02.12.2015,1396.59,1407.43,1380.09
01.12.2015,1392.94,1392.94,1354.35
30.11.2015,1370.73,1387.76,1367.89
27.11.2015,1379.21,1429.25,1368.83
26.11.2015,1429.24,1429.24,1391.53
25.11.2015,1373.95,1388.08,1354.65
24.11.2015,1367.52,1369.87,1348.74
23.11.2015,1348.72,1362.82,1346.84
20.11.2015,1363.51,1409.52,1349.42
19.11.2015,1370.79,1373.12,1354.95
18.11.2015,1380.73,1391.52,1368.54
17.11.2015,1383.15,1395.36,1376.10
16.11.2015,1376.57,1387.33,1371.89
13.11.2015,1384.74,1392.63,1380.56
12.11.2015,1381.38,1413.77,1376.76
11.11.2015,1411.04,1416.16,1385.95
10.11.2015,1406.19,1406.19,1382.41
09.11.2015,1401.00,1422.39,1399.61
06.11.2015,1419.20,1426.18,1394.99
05.11.2015,1380.93,1385.52,1365.31
04.11.2015,1379.74,1396.30,1375.60
03.11.2015,1375.54,1381.01,1356.38
02.11.2015,1353.07,1360.33,1341.26
30.10.2015,1345.51,1346.42,1333.70
29.10.2015,1341.34,1352.72,1331.79
28.10.2015,1357.27,1365.97,1336.69
27.10.2015,1342.51,1352.93,1337.53
26.10.2015,1338.07,1370.62,1335.35
23.10.2015,1364.59,1396.81,1345.53
22.10.2015,1339.94,1375.06,1338.59
21.10.2015,1337.42,1350.65,1333.01
20.10.2015,1359.71,1363.24,1350.90
19.10.2015,1366.16,1379.84,1361.31
16.10.2015,1386.47,1386.91,1375.89
15.10.2015,1387.96,1405.10,1375.22
14.10.2015,1389.37,1390.24,1378.05
13.10.2015,1399.02,1402.09,1382.76
12.10.2015,1403.54,1437.00,1400.90
09.10.2015,1419.58,1449.07,1399.77
08.10.2015,1385.32,1398.17,1378.23
07.10.2015,1405.75,1416.87,1388.39
06.10.2015,1382.06,1396.26,1373.19
05.10.2015,1397.85,1408.58,1388.02
02.10.2015,1398.75,1400.54,1378.68
01.10.2015,1399.91,1428.06,1394.55
30.09.2015,1406.96,1415.91,1401.59
29.09.2015,1392.64,1393.97,1370.87
28.09.2015,1383.97,1401.76,1371.52
25.09.2015,1402.41,1417.60,1398.39
24.09.2015,1414.83,1420.65,1405.89
23.09.2015,1410.19,1425.83,1406.61
22.09.2015,1426.90,1451.16,1424.21
21.09.2015,1443.25,1457.55,1439.68
18.09.2015,1434.26,1456.36,1427.62
17.09.2015,1428.32,1432.70,1412.56
16.09.2015,1441.35,1443.57,1427.62
15.09.2015,1436.50,1439.60,1412.53
14.09.2015,1428.63,1444.98,1427.31
11.09.2015,1448.61,1450.37,1438.91
10.09.2015,1449.15,1453.14,1441.62
09.09.2015,1452.37,1475.54,1448.81
08.09.2015,1458.28,1459.62,1422.58
07.09.2015,1431.32,1456.84,1428.64
04.09.2015,1446.58,1468.11,1440.75
03.09.2015,1463.77,1475.45,1442.19
02.09.2015,1426.41,1433.98,1410.37
01.09.2015,1413.99,1426.80,1392.77
28.08.2015,1435.60,1445.89,1397.14
27.08.2015,1385.50,1396.62,1364.61
26.08.2015,1358.85,1368.58,1349.57
25.08.2015,1352.97,1358.19,1327.77
24.08.2015,1320.38,1325.13,1300.95
21.08.2015,1360.20,1380.40,1354.06
20.08.2015,1396.21,1410.45,1387.31
19.08.2015,1399.03,1408.02,1393.63
18.08.2015,1407.45,1426.50,1405.64
17.08.2015,1414.19,1429.09,1404.26
14.08.2015,1419.31,1425.61,1411.66
13.08.2015,1413.84,1428.64,1406.67
12.08.2015,1422.17,1432.48,1393.49
11.08.2015,1439.37,1444.35,1426.24
10.08.2015,1463.38,1472.91,1437.52
