Datum,Schlusskurs,Eröffnung,Tageshoch,Tagestief
29.06.2016,1194.02,1179.10,1194.02,1178.87
28.06.2016,1189.19,1195.51,1196.97,1178.92
27.06.2016,1202.18,1203.49,1211.55,1196.48
26.06.2016,1181.97,1207.78,1207.78,1181.97
24.06.2016,1199.63,1127.09,1221.67,1125.52
23.06.2016,1081.91,1105.98,1112.04,1081.91
22.06.2016,1117.28,1120.35,1121.14,1113.20
21.06.2016,1124.38,1147.05,1150.23,1123.00
20.06.2016,1140.72,1137.07,1142.60,1130.06
19.06.2016,1149.60,1149.60,1149.60,1149.60
17.06.2016,1154.09,1134.49,1154.09,1133.54
16.06.2016,1137.78,1151.99,1170.85,1137.69
15.06.2016,1147.04,1141.31,1151.55,1135.69
14.06.2016,1155.08,1145.22,1155.08,1139.18
13.06.2016,1146.69,1125.12,1146.69,1124.24
12.06.2016,1132.49,1132.49,1132.49,1132.49
10.06.2016,1132.09,1128.04,1135.22,1123.84
09.06.2016,1121.16,1114.66,1123.32,1110.73
08.06.2016,1110.28,1092.38,1110.28,1090.81
07.06.2016,1098.29,1096.75,1098.29,1087.81
06.06.2016,1099.08,1095.82,1099.63,1092.23
05.06.2016,1095.07,1095.07,1095.07,1095.07
03.06.2016,1094.98,1065.11,1095.28,1062.18
02.06.2016,1087.15,1087.64,1091.84,1084.37
01.06.2016,1085.55,1087.21,1090.72,1078.51
31.05.2016,1092.31,1084.72,1094.44,1084.67
30.05.2016,1082.12,1089.30,1089.71,1077.92
29.05.2016,1085.87,1085.87,1085.87,1085.87
27.05.2016,1085.87,1097.70,1100.46,1085.87
26.05.2016,1091.30,1089.56,1101.71,1088.78
25.05.2016,1096.72,1100.39,1102.57,1091.77
24.05.2016,1100.79,1121.21,1123.70,1100.79
23.05.2016,1114.78,1114.74,1119.17,1108.06
22.05.2016,1116.10,1116.10,1116.10,1116.10
20.05.2016,1115.80,1119.05,1122.55,1113.06
19.05.2016,1121.32,1123.77,1125.98,1111.34
18.05.2016,1121.68,1141.56,1142.29,1118.89
17.05.2016,1131.44,1126.40,1133.28,1122.60
16.05.2016,1128.49,1125.04,1138.32,1123.65
15.05.2016,1130.07,1130.07,1130.07,1130.07
13.05.2016,1130.17,1118.06,1130.93,1117.90
12.05.2016,1122.90,1123.52,1125.89,1110.90
11.05.2016,1113.87,1108.36,1119.41,1107.24
10.05.2016,1113.71,1111.86,1116.46,1106.17
09.05.2016,1110.25,1128.72,1130.96,1108.34
08.05.2016,1130.84,1130.84,1130.84,1130.84
06.05.2016,1129.94,1120.39,1135.64,1117.67
05.05.2016,1121.20,1122.47,1127.77,1113.15
04.05.2016,1105.50,1119.28,1122.45,1105.50
03.05.2016,1118.75,1124.25,1132.43,1116.16
02.05.2016,1126.56,1121.36,1130.88,1117.30
01.05.2016,1116.20,1116.20,1116.20,1116.20
29.04.2016,1117.76,1106.14,1132.20,1105.25
28.04.2016,1115.57,1097.35,1118.60,1091.07
27.04.2016,1100.93,1097.81,1104.57,1095.76
26.04.2016,1099.74,1095.80,1101.14,1090.05
25.04.2016,1095.46,1093.26,1101.91,1091.55
24.04.2016,1093.83,1093.83,1093.83,1093.83
22.04.2016,1093.64,1112.17,1115.49,1093.64
21.04.2016,1106.45,1102.24,1125.39,1101.71
20.04.2016,1100.96,1105.89,1112.75,1099.58
19.04.2016,1101.18,1084.91,1106.62,1081.30
18.04.2016,1088.42,1091.65,1097.41,1087.69
17.04.2016,1095.39,1095.39,1095.39,1095.39
15.04.2016,1096.55,1087.65,1096.55,1086.03
14.04.2016,1086.44,1103.17,1103.97,1084.38
13.04.2016,1099.58,1113.64,1114.41,1098.83
12.04.2016,1100.55,1103.71,1108.39,1099.26
11.04.2016,1103.17,1092.12,1103.61,1091.07
08.04.2016,1088.53,1087.57,1090.31,1079.08
07.04.2016,1091.05,1075.53,1093.18,1075.24
06.04.2016,1075.72,1079.67,1081.10,1068.59
05.04.2016,1073.27,1068.31,1086.12,1067.41
04.04.2016,1065.67,1071.20,1073.37,1065.67
03.04.2016,1072.61,1072.61,1072.61,1072.61
01.04.2016,1072.89,1081.07,1083.97,1061.33
31.03.2016,1082.93,1077.18,1089.59,1075.64
30.03.2016,1079.75,1095.29,1096.53,1079.75
29.03.2016,1101.34,1082.00,1101.96,1076.78
28.03.2016,1090.52,1086.59,1092.21,1079.69
27.03.2016,1090.24,1090.24,1090.24,1090.24
24.03.2016,1088.87,1093.88,1094.75,1085.18
23.03.2016,1093.83,1116.16,1117.30,1085.98
22.03.2016,1112.21,1108.78,1122.68,1107.75
21.03.2016,1106.32,1116.17,1116.62,1104.01
20.03.2016,1114.05,1113.77,1114.43,1113.54
18.03.2016,1114.11,1117.21,1124.29,1107.58
17.03.2016,1113.11,1113.48,1123.22,1108.90
