Datum,Schlusskurs,Tageshoch,Tagestief
29.06.2016,4295.47,4295.47,4295.02
28.06.2016,4312.21,4340.73,4311.76
27.06.2016,4257.71,4263.43,4254.54
24.06.2016,4194.10,4218.25,4193.43
23.06.2016,4154.20,4154.20,4153.76
22.06.2016,4135.79,4140.07,4135.34
21.06.2016,4078.06,4141.71,4076.10
20.06.2016,4053.93,4053.93,4053.05
17.06.2016,4009.84,4027.45,4008.51
16.06.2016,4029.66,4030.10,4029.21
15.06.2016,4114.04,4114.04,4109.69
14.06.2016,4024.72,4025.16,4024.05
13.06.2016,3999.47,4021.92,3998.58
10.06.2016,4002.13,4002.13,3994.89
09.06.2016,4015.90,4015.90,3975.57
08.06.2016,4027.46,4027.90,4020.44
07.06.2016,4041.75,4041.75,4038.22
06.06.2016,4144.43,4144.43,4143.77
03.06.2016,4124.58,4131.93,4123.92
02.06.2016,4124.45,4139.56,4123.55
01.06.2016,4113.18,4114.07,4112.28
31.05.2016,4222.44,4222.44,4221.32
27.05.2016,4251.08,4252.43,4250.63
26.05.2016,4203.59,4203.59,4182.46
25.05.2016,4155.61,4155.61,4154.71
24.05.2016,4161.73,4161.60,4148.54
23.05.2016,4074.50,4074.50,4072.72
20.05.2016,4126.27,4126.27,4088.71
19.05.2016,4102.84,4103.02,4100.70
18.05.2016,4101.00,4121.14,4100.55
17.05.2016,4096.17,4096.17,4094.40
16.05.2016,4100.83,4100.96,4100.39
13.05.2016,4120.98,4120.98,4120.62
12.05.2016,4170.55,4171.43,4169.67
11.05.2016,4155.80,4155.80,4129.19
10.05.2016,4142.12,4142.12,4141.68
09.05.2016,4163.67,4163.67,4163.31
06.05.2016,4217.45,4230.91,4214.69
05.05.2016,4232.22,4232.22,4211.22
04.05.2016,4258.36,4258.36,4257.27
03.05.2016,4314.92,4312.96,4312.53
29.04.2016,4407.27,4407.40,4407.05
28.04.2016,4327.81,4327.81,4327.15
27.04.2016,4355.74,4355.74,4354.85
26.04.2016,4368.09,4368.09,4367.86
25.04.2016,4436.21,4437.54,4435.77
22.04.2016,4468.55,4468.55,4468.10
21.04.2016,4452.47,4452.47,4442.37
20.04.2016,4369.58,4419.00,4369.14
19.04.2016,4237.41,4362.98,4236.53
18.04.2016,4240.39,4286.21,4239.51
15.04.2016,4265.77,4267.10,4262.67
14.04.2016,4288.06,4303.46,4287.62
13.04.2016,4290.15,4299.33,4287.49
12.04.2016,4141.13,4205.10,4140.69
11.04.2016,4073.49,4073.49,4069.10
08.04.2016,4083.53,4093.77,4081.78
07.04.2016,4145.78,4145.78,4141.39
06.04.2016,4189.70,4215.45,4189.48
05.04.2016,4196.10,4196.10,4195.22
04.04.2016,4227.90,4227.90,4227.46
01.04.2016,4282.96,4284.84,4264.96
31.03.2016,4265.57,4265.57,4265.13
30.03.2016,4357.80,4357.80,4344.43
29.03.2016,4375.50,4375.94,4375.50
24.03.2016,4410.95,4525.90,4410.50
23.03.2016,4525.17,4525.17,4445.45
22.03.2016,4516.85,4522.64,4479.85
21.03.2016,4492.53,4525.89,4465.84
18.03.2016,4482.16,4536.74,4465.74
17.03.2016,4479.01,4486.08,4413.17
16.03.2016,4446.28,4458.31,4393.22
15.03.2016,4452.15,4460.25,4395.88
14.03.2016,4461.95,4495.27,4433.59
11.03.2016,4440.21,4464.88,4416.88
10.03.2016,4384.00,4416.21,4352.24
09.03.2016,4479.40,4511.69,4434.85
08.03.2016,4440.41,4523.07,4409.07
07.03.2016,4545.21,4558.82,4502.09
04.03.2016,4539.84,4592.08,4435.36
03.03.2016,4442.47,4442.92,4384.47
02.03.2016,4425.32,4426.24,4386.68
01.03.2016,4358.67,4360.05,4306.22
29.02.2016,4320.56,4332.05,4271.41
26.02.2016,4291.46,4362.36,4224.22
25.02.2016,4182.16,4232.51,4153.59
24.02.2016,4237.61,4238.52,4160.46
23.02.2016,4229.27,4240.61,4203.41
22.02.2016,4247.17,4263.95,4214.06
19.02.2016,4138.07,4156.93,4106.18
18.02.2016,4135.31,4141.16,4098.85
17.02.2016,4129.07,4141.65,4079.63
16.02.2016,4083.32,4134.49,4082.42
15.02.2016,4092.46,4134.56,4079.02
12.02.2016,3991.20,4011.19,3952.11
11.02.2016,3930.28,3974.90,3919.67
10.02.2016,3959.83,4012.15,3931.01
09.02.2016,3994.33,4114.78,3956.69
08.02.2016,4125.81,4151.71,4084.74
05.02.2016,4138.81,4209.61,4133.88
04.02.2016,4187.95,4214.29,4154.02
03.02.2016,4189.30,4190.65,4120.73
02.02.2016,4161.56,4236.16,4144.16
01.02.2016,4192.30,4192.30,4129.86
29.01.2016,4218.45,4228.60,4181.05
28.01.2016,4150.06,4189.82,4127.22
27.01.2016,4196.77,4213.28,4133.50
26.01.2016,4164.75,4182.70,4058.44
25.01.2016,4084.04,4120.44,4061.46
22.01.2016,4115.66,4151.77,4103.16
21.01.2016,4083.55,4086.31,4006.26
20.01.2016,4029.38,4033.98,3993.57
19.01.2016,4025.75,4096.78,4025.75
18.01.2016,4023.51,4034.52,4000.55
15.01.2016,3969.94,4018.51,3958.03
14.01.2016,4055.14,4077.69,4010.95
13.01.2016,4005.61,4052.94,4004.23
12.01.2016,4016.50,4064.43,4010.51
11.01.2016,4039.86,4077.60,4033.88
08.01.2016,4096.57,4177.12,4094.74
07.01.2016,4111.35,4188.26,4059.61
06.01.2016,4287.90,4303.67,4262.39
05.01.2016,4321.58,4352.27,4301.13
04.01.2016,4254.99,4292.84,4240.21
31.12.2015,4320.38,4364.12,4310.71
30.12.2015,4341.94,4344.68,4303.50
29.12.2015,4329.98,4347.83,4275.06
24.12.2015,4282.46,4292.49,4260.58
23.12.2015,4325.27,4325.27,4283.55
22.12.2015,4273.58,4307.83,4260.80
21.12.2015,4349.28,4352.95,4288.33
18.12.2015,4303.52,4315.94,4224.86
17.12.2015,4199.43,4222.04,4181.89
16.12.2015,4226.75,4254.72,4185.47
15.12.2015,4184.27,4249.20,4167.81
14.12.2015,4258.70,4273.25,4217.34
11.12.2015,4256.48,4306.50,4243.29
10.12.2015,4198.81,4213.44,4169.10
09.12.2015,4169.09,4211.29,4148.67
08.12.2015,4197.87,4222.19,4153.36
07.12.2015,4203.29,4285.45,4191.75
04.12.2015,4240.74,4280.72,4187.43
03.12.2015,4182.91,4197.09,4130.30
02.12.2015,4294.87,4354.26,4263.76
01.12.2015,4338.82,4361.88,4300.24
30.11.2015,4326.46,4362.88,4308.96
27.11.2015,4323.61,4389.22,4311.81
26.11.2015,4381.54,4425.85,4350.43
25.11.2015,4276.30,4343.63,4263.11
24.11.2015,4342.54,4342.54,4218.56
23.11.2015,4200.83,4230.44,4180.14
20.11.2015,4280.21,4386.33,4275.05
19.11.2015,4294.10,4317.40,4265.68
18.11.2015,4319.48,4379.51,4313.39
17.11.2015,4390.85,4435.47,4350.46
16.11.2015,4401.55,4480.63,4386.11
13.11.2015,4465.23,4487.51,4452.70
12.11.2015,4479.09,4584.57,4451.33
11.11.2015,4580.31,4596.58,4542.67
10.11.2015,4601.83,4624.67,4574.32
09.11.2015,4611.27,4648.94,4608.02
06.11.2015,4638.34,4696.98,4627.63
05.11.2015,4601.71,4699.56,4595.74
04.11.2015,4720.28,4802.17,4716.60
03.11.2015,4712.67,4724.53,4647.91
02.11.2015,4649.47,4661.73,4625.41
30.10.2015,4646.13,4687.93,4638.87
29.10.2015,4668.76,4723.81,4659.66
28.10.2015,4748.40,4784.08,4701.28
27.10.2015,4718.27,4744.54,4706.95
26.10.2015,4692.95,4739.53,4682.55
23.10.2015,4701.40,4826.65,4686.88
22.10.2015,4712.74,4759.12,4679.87
21.10.2015,4581.97,4585.94,4531.26
20.10.2015,4585.39,4619.32,4558.51
19.10.2015,4600.21,4650.08,4576.38
16.10.2015,4645.34,4677.50,4612.74
15.10.2015,4682.78,4699.47,4641.04
14.10.2015,4625.87,4626.31,4556.62
13.10.2015,4616.09,4654.31,4605.55
12.10.2015,4671.13,4710.75,4659.24
09.10.2015,4666.34,4715.20,4637.29
08.10.2015,4573.99,4588.17,4527.00
07.10.2015,4636.88,4690.28,4607.07
06.10.2015,4602.15,4635.41,4543.60
05.10.2015,4642.83,4669.65,4586.50
02.10.2015,4594.11,4601.25,4470.12
01.10.2015,4536.64,4672.48,4522.34
30.09.2015,4612.46,4644.68,4483.13
