Datum,Schlusskurs,Tageshoch,Tagestief
29.06.2016,8339.32,8339.32,8333.93
28.06.2016,8245.33,8245.33,8240.82
27.06.2016,8130.67,8129.76,8112.52
24.06.2016,8005.04,8009.53,7999.64
23.06.2016,8033.60,8033.60,8029.23
22.06.2016,8143.64,8143.64,8101.51
21.06.2016,8188.12,8188.12,8188.12
20.06.2016,8143.24,8142.35,8132.63
17.06.2016,8025.90,8025.90,8017.03
16.06.2016,8078.02,8078.02,8078.02
15.06.2016,8055.78,8055.78,8050.45
14.06.2016,7856.70,7945.93,7852.24
13.06.2016,7817.34,7817.34,7808.49
10.06.2016,7952.73,7952.73,7890.75
09.06.2016,7906.36,7906.36,7901.06
08.06.2016,7742.59,7742.59,7738.20
07.06.2016,7543.60,7543.60,7538.31
06.06.2016,7595.77,7595.77,7593.57
03.06.2016,7487.24,7486.36,7481.96
02.06.2016,7500.22,7513.67,7497.09
01.06.2016,7567.50,7567.50,7567.50
31.05.2016,7524.03,7524.03,7524.03
27.05.2016,7534.18,7557.12,7529.69
26.05.2016,7481.69,7480.79,7450.42
25.05.2016,7475.80,7475.80,7466.83
24.05.2016,7485.19,7485.19,7480.70
23.05.2016,7405.76,7405.76,7403.53
20.05.2016,7565.50,7565.50,7565.50
19.05.2016,7579.00,7663.81,7574.54
18.05.2016,7701.91,7701.91,7701.91
17.05.2016,7628.39,7628.39,7623.09
16.05.2016,7635.21,7635.21,7630.79
13.05.2016,7591.97,7603.02,7587.55
12.05.2016,7714.29,7714.29,7705.49
11.05.2016,7557.99,7557.99,7557.99
10.05.2016,7593.88,7593.88,7589.48
09.05.2016,7669.33,7669.33,7563.91
06.05.2016,7856.20,7855.33,7834.28
05.05.2016,8155.75,8155.75,7873.37
04.05.2016,8173.75,8172.88,8169.39
03.05.2016,8229.67,8229.67,8229.67
29.04.2016,8264.17,8264.17,8259.81
28.04.2016,8060.96,8060.96,8056.56
27.04.2016,8125.06,8124.17,8116.22
26.04.2016,8018.41,8018.41,8009.56
25.04.2016,8099.72,8099.72,8099.72
22.04.2016,8134.35,8134.35,8070.21
21.04.2016,8354.74,8355.63,8349.43
20.04.2016,8153.42,8153.42,8149.00
19.04.2016,7881.30,7881.30,7881.30
18.04.2016,7909.85,7914.27,7877.15
15.04.2016,7873.98,7873.98,7869.55
14.04.2016,7882.82,7882.82,7878.38
13.04.2016,7909.91,7909.02,7904.14
12.04.2016,7600.77,7605.16,7596.82
11.04.2016,7502.41,7502.41,7498.03
08.04.2016,7374.75,7444.94,7371.68
07.04.2016,7438.67,7438.67,7435.59
06.04.2016,7431.78,7778.36,7407.55
05.04.2016,7270.25,7270.25,7266.30
04.04.2016,7356.69,7356.69,7356.69
01.04.2016,7354.75,7354.75,7346.85
31.03.2016,7274.01,7274.88,7270.05
30.03.2016,7432.07,7432.96,7420.17
29.03.2016,7595.89,7591.46,7591.46
24.03.2016,7715.36,7715.36,7715.36
23.03.2016,7712.60,7712.60,7708.13
22.03.2016,7893.56,7893.56,7893.56
21.03.2016,7663.23,7663.23,7658.78
18.03.2016,7858.54,7858.54,7855.43
17.03.2016,7640.30,7644.72,7635.88
16.03.2016,7610.34,7610.34,7610.34
15.03.2016,7684.34,7688.84,7681.19
14.03.2016,7838.81,7837.91,7834.31
11.03.2016,7867.59,7885.53,7863.10
10.03.2016,7815.16,7855.42,7810.68
09.03.2016,7988.54,7988.54,7985.36
08.03.2016,8212.21,8221.29,8203.13
07.03.2016,8510.35,8510.35,8494.92
04.03.2016,8222.04,8221.13,8215.68
03.03.2016,8022.83,8193.38,8015.98
02.03.2016,8061.10,8060.18,8002.67
01.03.2016,7747.52,7747.52,7747.52
29.02.2016,7736.13,7736.13,7732.91
26.02.2016,7693.72,7694.63,7686.85
25.02.2016,7729.29,7729.29,7729.29
24.02.2016,7732.80,7738.25,7728.26
23.02.2016,7870.62,7893.30,7863.82
22.02.2016,7886.62,7886.62,7882.09
19.02.2016,7491.92,7492.81,7487.42
18.02.2016,7476.59,7476.59,7472.09
17.02.2016,7406.08,7415.06,7401.58
16.02.2016,7290.36,7290.36,7290.36
15.02.2016,7274.68,7274.68,7256.76
12.02.2016,6858.56,6919.42,6853.23
11.02.2016,7104.98,7104.98,7104.98
10.02.2016,7129.56,7129.56,7125.12
09.02.2016,7173.86,7172.97,7160.57
08.02.2016,7192.61,7194.39,7188.14
04.02.2016,7629.46,7629.46,7620.54
03.02.2016,7615.27,7615.27,7609.85
02.02.2016,7743.71,7743.71,7634.78
01.02.2016,7760.12,7760.12,7750.94
28.01.2016,7832.21,7832.21,7826.72
27.01.2016,7835.14,7835.14,7835.14
26.01.2016,7864.70,7864.70,7860.10
25.01.2016,8039.99,8039.99,8039.99
21.01.2016,7825.73,8014.35,7821.13
20.01.2016,7865.01,7865.01,7860.42
19.01.2016,7955.27,7955.27,7952.07
18.01.2016,7804.61,7810.12,7800.48
14.01.2016,7685.94,7685.94,7681.33
13.01.2016,7591.21,7591.21,7582.02
12.01.2016,7539.87,7539.87,7536.64
11.01.2016,7649.82,7649.82,7644.30
07.01.2016,7613.77,7618.35,7609.19
06.01.2016,7867.88,7867.88,7857.67
05.01.2016,8016.37,8017.48,7997.77
04.01.2016,7860.97,7860.97,7856.35
31.12.2015,8041.26,8041.26,8041.26
30.12.2015,7880.29,7894.01,7874.61
29.12.2015,7835.24,7835.24,7824.26
24.12.2015,7831.87,7830.96,7804.52
23.12.2015,7975.80,7975.80,7975.80
22.12.2015,7953.61,7953.61,7953.61
21.12.2015,7982.77,8108.33,7977.27
17.12.2015,7941.12,7946.66,7938.82
16.12.2015,7957.26,8039.81,7953.86
15.12.2015,7910.38,7909.47,7904.71
14.12.2015,7785.66,7786.56,7781.11
10.12.2015,7797.07,7797.07,7793.88
09.12.2015,7918.86,7986.93,7914.32
08.12.2015,7874.45,7873.53,7865.27
07.12.2015,8331.79,8331.79,8331.79
03.12.2015,8015.37,8015.37,8009.88
02.12.2015,8333.33,8333.33,8333.33
01.12.2015,8221.18,8221.18,8221.18
30.11.2015,8263.17,8278.31,8258.44
26.11.2015,8598.10,8639.58,8579.24
25.11.2015,8145.78,8356.72,8140.13
24.11.2015,7913.03,8203.72,7663.19
23.11.2015,7672.06,7673.00,7666.42
19.11.2015,8279.75,8284.41,8276.49
18.11.2015,8399.77,8404.46,8396.49
17.11.2015,8608.87,8608.87,8604.17
16.11.2015,8801.24,8801.24,8796.56
12.11.2015,8669.50,8675.06,8666.27
11.11.2015,8784.16,8785.09,8760.92
10.11.2015,8853.97,8853.97,8848.38
09.11.2015,8927.74,8924.21,8881.24
05.11.2015,8902.98,8902.98,8893.79
04.11.2015,9173.72,9190.28,9168.20
03.11.2015,9117.03,9121.59,9113.84
02.11.2015,9203.60,9203.60,9203.60
29.10.2015,9532.26,9533.17,9527.71
28.10.2015,9592.86,9592.86,9592.86
27.10.2015,9480.03,9480.03,9480.03
26.10.2015,9586.69,9586.69,9586.69
22.10.2015,9293.11,9293.11,9293.11
