Datum,Schlusskurs,Tageshoch,Tagestief
29.06.2016,527.95,531.32,513.12
28.06.2016,510.20,514.71,500.95
27.06.2016,505.90,506.35,495.92
26.06.2016,497.37,497.37,497.37
24.06.2016,494.02,510.43,488.62
23.06.2016,495.32,496.63,487.88
22.06.2016,495.41,498.06,484.38
21.06.2016,491.64,492.53,480.97
20.06.2016,484.08,486.74,470.38
19.06.2016,471.73,471.73,471.73
17.06.2016,473.57,482.44,468.69
16.06.2016,475.60,481.83,471.14
15.06.2016,473.84,485.39,472.07
14.06.2016,477.83,484.96,476.49
13.06.2016,480.56,488.09,477.46
12.06.2016,484.44,484.44,484.44
10.06.2016,484.27,498.49,481.61
09.06.2016,495.14,500.00,488.52
08.06.2016,493.51,500.09,486.49
07.06.2016,489.25,493.22,479.57
06.06.2016,491.41,491.85,486.13
05.06.2016,487.90,487.90,487.90
03.06.2016,487.86,490.94,468.94
02.06.2016,479.69,492.24,478.79
01.06.2016,488.56,492.13,484.98
31.05.2016,491.42,494.12,483.78
30.05.2016,487.16,487.61,479.97
29.05.2016,484.89,484.89,484.89
27.05.2016,484.89,497.48,480.84
26.05.2016,486.42,489.99,475.25
25.05.2016,478.22,483.15,469.70
24.05.2016,479.27,495.42,477.92
23.05.2016,490.60,499.51,489.26
22.05.2016,500.04,500.49,497.37
20.05.2016,499.02,505.26,496.57
19.05.2016,497.68,515.53,497.23
18.05.2016,511.23,521.93,510.34
17.05.2016,516.22,526.39,514.01
16.05.2016,523.15,528.01,520.50
15.05.2016,523.03,523.03,523.03
13.05.2016,523.08,531.48,520.43
12.05.2016,523.52,538.46,521.76
11.05.2016,531.73,534.79,519.47
10.05.2016,522.82,524.58,509.63
09.05.2016,515.24,532.81,508.65
08.05.2016,531.77,532.64,530.89
06.05.2016,532.22,533.54,523.89
05.05.2016,525.74,534.07,523.55
04.05.2016,520.98,529.68,516.63
03.05.2016,526.32,544.58,522.40
02.05.2016,538.25,547.80,535.65
01.05.2016,548.72,548.72,546.98
29.04.2016,547.74,554.73,543.81
28.04.2016,549.73,552.37,535.64
27.04.2016,539.17,542.26,529.89
26.04.2016,534.12,540.31,526.15
25.04.2016,535.84,539.83,530.52
24.04.2016,543.13,543.13,537.34
22.04.2016,537.24,552.39,536.35
21.04.2016,535.13,546.20,524.94
20.04.2016,527.34,530.44,514.07
19.04.2016,513.83,515.59,497.53
18.04.2016,501.55,504.64,496.69
17.04.2016,503.28,503.28,503.28
15.04.2016,503.81,504.25,495.83
14.04.2016,500.44,502.44,475.37
13.04.2016,483.73,488.61,477.08
12.04.2016,480.81,487.84,475.54
11.04.2016,480.58,485.84,474.44
10.04.2016,475.11,475.11,475.11
08.04.2016,476.00,476.88,469.42
07.04.2016,471.29,478.77,469.97
06.04.2016,476.44,488.73,472.05
05.04.2016,480.14,491.57,475.75
04.04.2016,484.15,495.57,483.50
03.04.2016,494.43,496.62,494.43
01.04.2016,496.75,503.77,488.41
31.03.2016,496.35,505.14,494.16
30.03.2016,498.41,510.76,497.09
29.03.2016,508.02,512.89,492.96
28.03.2016,509.06,522.46,505.49
27.03.2016,514.11,515.00,514.11
24.03.2016,514.36,525.09,512.12
23.03.2016,524.01,542.34,519.99
22.03.2016,539.76,541.54,533.52
21.03.2016,536.38,536.38,520.37
20.03.2016,524.35,525.24,523.47
18.03.2016,524.94,529.82,519.17
17.03.2016,525.41,528.50,511.71
16.03.2016,518.50,521.62,502.90
15.03.2016,511.84,514.54,503.74
14.03.2016,513.28,520.04,508.33
13.03.2016,515.85,519.43,514.96
11.03.2016,519.42,525.70,510.90
10.03.2016,510.87,514.45,500.13
09.03.2016,515.14,519.69,499.68
08.03.2016,514.17,529.16,507.36
07.03.2016,526.51,526.96,502.00
06.03.2016,505.78,506.69,505.78
04.03.2016,505.13,511.04,486.05
03.03.2016,493.61,497.72,468.95
02.03.2016,477.13,481.73,468.39
01.03.2016,474.79,482.61,454.09
29.02.2016,453.19,458.93,444.23
28.02.2016,444.43,444.43,444.43
26.02.2016,444.15,451.47,440.49
25.02.2016,441.80,449.06,437.27
24.02.2016,444.27,456.07,441.55
23.02.2016,455.00,456.36,449.10
22.02.2016,450.79,456.69,450.79
19.02.2016,450.95,454.55,446.91
18.02.2016,454.18,466.78,449.23
