Datum,Schlusskurs,Eröffnung,Tageshoch,Tagestief
29.06.2016,905.82,880.21,909.19,879.31
28.06.2016,883.65,884.56,887.49,877.11
27.06.2016,887.02,897.46,903.36,885.66
26.06.2016,884.04,892.65,892.65,883.59
24.06.2016,886.63,863.01,898.54,863.01
23.06.2016,843.62,854.56,858.49,843.18
22.06.2016,861.13,864.21,871.27,860.24
21.06.2016,870.38,876.60,883.27,864.15
20.06.2016,872.68,853.67,874.45,852.79
19.06.2016,858.66,856.89,858.66,856.89
17.06.2016,860.23,860.23,871.32,854.47
16.06.2016,856.79,869.26,880.83,856.79
15.06.2016,866.42,866.42,876.19,863.31
14.06.2016,870.88,883.82,885.61,865.98
13.06.2016,876.96,877.40,884.05,871.20
12.06.2016,879.56,882.22,882.22,879.56
10.06.2016,881.91,891.24,892.13,877.47
09.06.2016,886.48,893.11,897.08,877.65
08.06.2016,886.12,885.24,894.89,883.05
07.06.2016,880.31,877.22,883.83,865.33
06.06.2016,877.15,867.46,878.47,866.58
05.06.2016,867.14,868.90,868.90,867.14
03.06.2016,868.82,843.30,869.26,840.23
02.06.2016,858.96,872.86,876.00,858.96
01.06.2016,868.50,876.10,880.12,864.92
31.05.2016,879.53,872.34,882.67,870.54
30.05.2016,869.70,877.33,880.93,867.46
29.05.2016,881.16,878.91,881.16,878.91
27.05.2016,878.91,894.21,897.80,877.56
26.05.2016,887.98,887.53,902.72,885.30
25.05.2016,890.10,895.93,900.41,887.86
24.05.2016,897.06,908.27,909.62,895.71
23.05.2016,900.54,910.35,914.36,896.09
22.05.2016,910.51,910.95,910.95,910.51
20.05.2016,910.71,905.81,915.83,904.92
19.05.2016,905.64,918.14,920.82,899.84
18.05.2016,915.94,941.79,942.68,914.60
17.05.2016,931.23,929.46,938.30,921.51
16.05.2016,928.33,929.66,939.82,927.89
15.05.2016,930.23,930.23,930.23,928.46
13.05.2016,930.31,925.01,936.06,918.38
12.05.2016,921.32,938.02,939.78,920.88
