Datum,Schlusskurs,Eröffnung,Tageshoch,Tagestief
29.06.2016,16.45,15.98,16.57,15.97
28.06.2016,16.06,16.01,16.10,15.85
27.06.2016,16.11,16.22,16.26,16.02
26.06.2016,15.86,15.86,15.86,15.86
24.06.2016,15.75,15.47,16.46,15.43
23.06.2016,15.15,15.09,15.28,15.07
22.06.2016,15.40,15.26,15.40,15.12
21.06.2016,15.36,15.56,15.63,15.29
20.06.2016,15.47,15.34,15.59,15.28
19.06.2016,15.49,15.49,15.49,15.49
17.06.2016,15.56,15.26,15.56,15.26
16.06.2016,15.25,15.62,15.91,15.25
15.06.2016,15.55,15.44,15.64,15.41
14.06.2016,15.62,15.57,15.62,15.37
13.06.2016,15.46,15.38,15.48,15.16
12.06.2016,15.41,15.41,15.41,15.41
10.06.2016,15.41,15.36,15.44,15.27
09.06.2016,15.28,15.05,15.31,14.98
08.06.2016,14.95,14.42,14.99,14.38
07.06.2016,14.44,14.50,14.52,14.31
06.06.2016,14.62,14.47,14.62,14.41
05.06.2016,14.45,14.45,14.45,14.45
03.06.2016,14.45,14.07,14.46,14.04
02.06.2016,14.34,14.33,14.38,14.27
01.06.2016,14.27,14.32,14.38,14.15
31.05.2016,14.38,14.39,14.52,14.34
30.05.2016,14.37,14.56,14.57,14.29
29.05.2016,14.59,14.59,14.59,14.59
27.05.2016,14.59,14.68,14.72,14.52
26.05.2016,14.58,14.57,14.79,14.51
25.05.2016,14.62,14.53,14.66,14.50
24.05.2016,14.55,14.72,14.74,14.54
23.05.2016,14.61,14.70,14.75,14.54
22.05.2016,14.73,14.73,14.73,14.73
20.05.2016,14.73,14.71,14.83,14.64
19.05.2016,14.72,15.06,15.11,14.59
18.05.2016,15.07,15.39,15.41,14.97
17.05.2016,15.25,15.16,15.32,15.08
16.05.2016,15.04,15.12,15.37,15.04
15.05.2016,15.15,15.15,15.15,15.15
13.05.2016,15.15,15.04,15.18,14.92
12.05.2016,14.91,15.31,15.33,14.91
11.05.2016,15.25,14.99,15.39,14.97
10.05.2016,15.06,14.98,15.09,14.88
09.05.2016,14.95,15.30,15.35,14.88
08.05.2016,15.36,15.35,15.35,15.35
06.05.2016,15.34,15.20,15.43,15.11
05.05.2016,15.21,15.24,15.46,15.13
04.05.2016,15.13,15.16,15.21,14.96
03.05.2016,15.16,15.28,15.41,15.08
02.05.2016,15.22,15.50,15.62,15.17
01.05.2016,15.57,15.57,15.57,15.57
29.04.2016,15.59,15.36,15.68,15.36
28.04.2016,15.47,15.20,15.54,15.11
27.04.2016,15.23,15.15,15.36,15.09
26.04.2016,15.20,15.03,15.20,14.92
25.04.2016,14.97,15.03,15.18,14.93
24.04.2016,15.11,15.11,15.11,15.11
22.04.2016,15.11,15.16,15.45,15.01
21.04.2016,15.08,15.01,15.68,14.84
20.04.2016,15.02,14.99,15.24,14.91
19.04.2016,14.92,14.28,15.01,14.24
18.04.2016,14.35,14.37,14.41,14.24
17.04.2016,14.38,14.38,14.38,14.38
15.04.2016,14.39,14.32,14.51,14.26
14.04.2016,14.35,14.40,14.42,14.13
13.04.2016,14.38,14.34,14.47,14.19
12.04.2016,14.23,13.98,14.24,13.88
11.04.2016,13.97,13.54,14.00,13.48
08.04.2016,13.49,13.35,13.50,13.29
07.04.2016,13.19,13.25,13.51,13.19
06.04.2016,13.14,13.28,13.32,13.10
05.04.2016,13.09,13.14,13.35,13.09
04.04.2016,13.08,13.18,13.26,13.08
03.04.2016,13.21,13.21,13.21,13.21
01.04.2016,13.21,13.54,13.57,13.00
31.03.2016,13.36,13.40,13.63,13.35
30.03.2016,13.59,13.56,13.62,13.41
29.03.2016,13.61,13.49,13.61,13.35
28.03.2016,13.41,13.54,13.71,13.40
27.03.2016,13.61,13.61,13.61,13.61
24.03.2016,13.60,13.67,13.71,13.57
23.03.2016,13.68,14.18,14.23,13.61
22.03.2016,14.13,14.11,14.27,14.06
21.03.2016,14.08,14.08,14.15,13.97
20.03.2016,14.05,14.04,14.06,14.04
18.03.2016,14.03,14.15,14.32,13.97
17.03.2016,14.09,13.78,14.17,13.74
16.03.2016,13.90,13.62,13.95,13.56
15.03.2016,13.76,13.82,13.86,13.69
14.03.2016,13.83,13.97,14.24,13.77
13.03.2016,13.87,13.89,13.89,13.86
11.03.2016,13.91,13.99,14.11,13.87
10.03.2016,14.00,13.69,14.00,13.58
09.03.2016,13.90,13.98,14.04,13.82
08.03.2016,14.13,14.22,14.29,13.93
07.03.2016,14.21,14.09,14.34,14.04
04.03.2016,14.09,13.82,14.34,13.74
03.03.2016,13.91,13.69,13.99,13.57
02.03.2016,13.78,13.64,13.82,13.59
01.03.2016,13.34,13.72,13.87,13.34
29.02.2016,13.70,13.52,13.71,13.44
28.02.2016,13.45,13.45,13.45,13.45
26.02.2016,13.44,13.85,13.93,13.43
25.02.2016,13.63,13.81,13.90,13.63
24.02.2016,13.76,13.88,14.14,13.75
23.02.2016,13.88,13.77,13.89,13.76
22.02.2016,13.77,13.91,13.91,13.56
19.02.2016,13.76,13.85,13.90,13.73
18.02.2016,13.84,13.76,14.00,13.69
17.02.2016,13.74,13.71,13.83,13.63
16.02.2016,13.66,13.78,13.85,13.60
15.02.2016,13.73,14.05,14.07,13.63
12.02.2016,14.00,14.02,14.03,13.88
11.02.2016,13.94,13.50,14.09,13.49
10.02.2016,13.55,13.53,13.57,13.38
09.02.2016,13.67,13.60,13.68,13.45
08.02.2016,13.77,13.39,13.80,13.30
05.02.2016,13.54,13.33,13.54,13.14
04.02.2016,13.29,13.10,13.31,13.07
03.02.2016,13.24,12.90,13.35,12.88
02.02.2016,13.09,13.15,13.18,13.03
01.02.2016,13.18,13.09,13.24,13.08
29.01.2016,13.18,13.16,13.21,13.09
28.01.2016,13.01,13.24,13.28,12.92
27.01.2016,13.28,13.30,13.36,13.17
26.01.2016,13.35,13.11,13.39,13.09
25.01.2016,13.08,12.95,13.17,12.93
24.01.2016,13.01,13.00,13.00,13.00
22.01.2016,13.00,13.05,13.28,12.99
21.01.2016,13.01,13.03,13.06,12.78
20.01.2016,13.03,12.89,13.04,12.86
19.01.2016,13.00,12.79,13.00,12.73
18.01.2016,12.80,12.79,12.85,12.71
15.01.2016,12.76,12.69,12.95,12.64
14.01.2016,12.74,13.04,13.05,12.67
13.01.2016,12.70,12.69,13.05,12.66
12.01.2016,12.63,12.80,12.83,12.63
11.01.2016,12.77,12.87,12.95,12.75
08.01.2016,12.68,13.10,13.11,12.67
07.01.2016,13.47,12.84,13.47,12.77
06.01.2016,13.13,12.98,13.13,12.91
05.01.2016,13.00,12.91,13.08,12.91
04.01.2016,12.75,12.80,13.10,12.75
31.12.2015,12.75,12.80,12.88,12.71
30.12.2015,12.71,12.78,12.81,12.63
29.12.2015,12.77,12.76,12.87,12.75
28.12.2015,12.71,13.09,13.14,12.65
24.12.2015,13.11,13.05,13.13,13.02
23.12.2015,13.12,13.08,13.16,13.04
22.12.2015,13.02,13.02,13.14,12.99
21.12.2015,13.08,12.93,13.13,12.88
18.12.2015,12.97,12.64,13.07,12.63
17.12.2015,12.67,13.07,13.08,12.63
16.12.2015,13.37,13.00,13.37,12.99
15.12.2015,12.61,12.03,12.65,12.03
14.12.2015,11.97,12.67,12.72,11.95
11.12.2015,12.67,12.82,12.87,12.55
10.12.2015,12.91,12.95,13.02,12.90
09.12.2015,12.86,12.86,13.02,12.83
08.12.2015,13.00,13.09,13.16,12.94
07.12.2015,13.16,13.41,13.52,13.14
04.12.2015,13.37,12.97,13.44,12.92
03.12.2015,12.91,12.82,12.96,12.66
02.12.2015,13.20,13.38,13.42,13.14
01.12.2015,13.35,13.27,13.42,13.23
30.11.2015,13.32,13.31,13.34,13.31
29.11.2015,13.30,13.30,13.30,13.30
27.11.2015,13.31,13.49,13.51,13.20
26.11.2015,13.48,13.41,13.56,13.34
25.11.2015,13.37,13.38,13.46,13.24
24.11.2015,13.36,13.27,13.45,13.22
23.11.2015,13.30,13.28,13.34,13.10
20.11.2015,13.15,13.41,13.53,13.14
19.11.2015,13.30,13.24,13.42,13.18
18.11.2015,13.30,13.34,13.38,13.17
17.11.2015,13.33,13.42,13.43,13.27
16.11.2015,13.37,13.47,13.53,13.31
13.11.2015,13.24,13.29,13.36,13.18
12.11.2015,13.24,13.26,13.40,13.15
11.11.2015,13.31,13.41,13.50,13.27
10.11.2015,13.46,13.60,13.61,13.35
09.11.2015,13.54,13.74,13.76,13.44
06.11.2015,13.76,13.95,14.03,13.71
05.11.2015,13.76,13.87,13.89,13.74
04.11.2015,13.88,14.07,14.12,13.85
03.11.2015,13.95,14.06,14.11,13.90
02.11.2015,14.00,14.11,14.13,13.87
30.10.2015,14.14,14.14,14.23,14.08
29.10.2015,14.20,14.50,14.56,14.16
28.10.2015,14.59,14.55,14.97,14.41
