Datum,Schlusskurs,Tageshoch,Tagestief
29.06.2016,15321.71,15320.36,15317.22
28.06.2016,15407.53,15412.04,15403.01
27.06.2016,15431.03,15431.03,15427.86
24.06.2016,15344.49,15343.14,15335.49
23.06.2016,15025.82,15025.82,15008.31
22.06.2016,15131.46,15131.46,15122.64
21.06.2016,15144.91,15143.58,15113.80
20.06.2016,15035.37,15034.48,15030.95
17.06.2016,15311.28,15315.71,15306.85
16.06.2016,15269.86,15269.86,15252.05
15.06.2016,15321.08,15310.86,15276.67
14.06.2016,15302.94,15292.67,15280.63
13.06.2016,15134.20,15133.32,15125.34
10.06.2016,15305.67,15304.78,15302.56
09.06.2016,15282.69,15272.53,15260.60
08.06.2016,15046.50,15046.50,15044.31
07.06.2016,14950.68,14950.68,14948.48
06.06.2016,14839.28,14829.15,14817.26
03.06.2016,14556.57,14556.57,14538.10
02.06.2016,14552.14,14551.24,14525.24
01.06.2016,14218.67,14218.67,14215.54
31.05.2016,14553.95,14553.95,14541.82
27.05.2016,14618.57,14618.57,14573.59
26.05.2016,14047.70,14047.70,13846.70
25.05.2016,13893.87,13893.87,13888.49
24.05.2016,14153.65,14153.65,14135.70
23.05.2016,14192.14,14181.89,14180.11
20.05.2016,14676.53,14676.53,14674.30
19.05.2016,14912.52,14911.62,14899.13
18.05.2016,14998.22,14987.97,14986.18
17.05.2016,15004.86,15004.86,14982.76
16.05.2016,14934.61,14934.61,14757.86
13.05.2016,14856.74,14878.85,14845.68
12.05.2016,15252.75,15251.87,15230.77
11.05.2016,15186.00,15185.12,15142.23
10.05.2016,15170.17,15160.06,15148.18
09.05.2016,15307.92,15305.28,15302.64
06.05.2016,15256.47,15246.38,15234.55
05.05.2016,15276.68,15281.07,15259.14
04.05.2016,15102.72,15099.23,15080.95
03.05.2016,15071.77,15089.17,15051.76
29.04.2016,15217.96,15217.96,15215.78
28.04.2016,15064.75,15043.61,14871.82
27.04.2016,15234.48,15278.64,15222.56
26.04.2016,15377.47,15367.29,15355.34
25.04.2016,15396.56,15395.67,15392.12
22.04.2016,15457.95,15480.22,15449.04
21.04.2016,15482.41,15472.22,15470.45
20.04.2016,15333.57,15332.68,15329.15
19.04.2016,15058.12,15057.24,15039.63
18.04.2016,15156.87,15156.87,15144.94
15.04.2016,15287.13,15286.25,15282.70
14.04.2016,15268.53,15268.53,15265.42
13.04.2016,15247.85,15247.85,15245.63
12.04.2016,14885.40,14875.30,14841.49
11.04.2016,14930.28,14930.28,14918.44
08.04.2016,14762.66,14762.66,14750.81
07.04.2016,14552.01,14552.01,14548.05
06.04.2016,14376.59,14389.75,14372.20
05.04.2016,14606.40,14606.40,14603.32
04.04.2016,14665.09,14663.77,14659.82
01.04.2016,14748.99,14747.67,14743.72
31.03.2016,14846.70,14836.60,14824.74
30.03.2016,14974.42,14974.42,14972.21
29.03.2016,15391.09,15391.09,15386.66
24.03.2016,15766.17,15766.17,15763.93
23.03.2016,15715.82,15715.82,15693.46
22.03.2016,15243.36,15243.36,15238.01
21.03.2016,15121.86,15112.52,15109.86
18.03.2016,15224.53,15220.98,15220.09
17.03.2016,15046.40,15036.24,15024.30
16.03.2016,15078.02,15070.00,15068.21
15.03.2016,15085.08,15170.61,15082.83
14.03.2016,15466.01,15460.15,15398.47
11.03.2016,15318.02,15318.02,15295.60
10.03.2016,15187.44,15187.44,15165.07
09.03.2016,15322.36,15321.45,15140.49
08.03.2016,15520.53,15520.53,15466.02
07.03.2016,15749.82,15749.82,15737.56
04.03.2016,15399.29,15399.29,15396.11
03.03.2016,15159.82,15159.82,15156.62
02.03.2016,14999.54,15040.95,14987.12
01.03.2016,14869.34,14867.96,14864.74
29.02.2016,14971.52,14971.52,14968.30
26.02.2016,14751.62,14741.10,14728.75
25.02.2016,14719.22,14708.79,14696.54
24.02.2016,14653.29,14680.52,14650.12
23.02.2016,14765.92,14765.92,14761.39
22.02.2016,14494.33,14494.33,14489.80
19.02.2016,14328.06,14317.73,14305.61
18.02.2016,14259.99,14269.90,14246.49
17.02.2016,14245.91,14245.91,14241.42
16.02.2016,13831.03,13830.58,13826.54
15.02.2016,13796.81,13796.81,13783.37
12.02.2016,13592.75,13593.64,13579.42
11.02.2016,13785.79,13782.26,13741.60
10.02.2016,14059.59,14100.38,14055.16
09.02.2016,13971.30,13971.30,13958.02
08.02.2016,13996.79,13996.79,13974.46
04.02.2016,13544.64,13544.64,13526.79
03.02.2016,13394.39,13398.90,13391.23
02.02.2016,13679.63,13707.09,13676.43
01.02.2016,13646.80,13646.80,13642.21
28.01.2016,12749.04,12749.04,12744.47
27.01.2016,12928.66,12919.49,12916.28
26.01.2016,12839.39,12839.39,12826.97
25.01.2016,12670.48,12670.01,12665.87
21.01.2016,12329.78,12329.78,12317.35
20.01.2016,12442.61,12432.05,12373.74
19.01.2016,12217.03,12217.03,12212.45
18.01.2016,12152.24,12166.01,12141.95
14.01.2016,12200.85,12200.85,12196.24
13.01.2016,12232.33,12246.12,12227.74
12.01.2016,12443.54,12443.54,12438.93
11.01.2016,12501.15,12519.56,12498.85
07.01.2016,12681.99,12681.99,12636.21
06.01.2016,13035.81,13040.45,13031.64
05.01.2016,13345.11,13345.11,13321.86
04.01.2016,13441.65,13441.65,13432.42
31.12.2015,13445.07,13435.40,13422.05
30.12.2015,13412.96,13412.96,13409.76
29.12.2015,13359.27,13363.84,13340.96
24.12.2015,13357.04,13357.04,13311.45
23.12.2015,13499.27,13488.72,13453.43
22.12.2015,13377.77,13377.77,13297.42
21.12.2015,13344.33,13381.91,13339.75
17.12.2015,13528.98,13521.59,13518.83
16.12.2015,13534.21,13530.54,13421.85
15.12.2015,13351.62,13351.62,13347.05
14.12.2015,13253.34,13249.70,13180.62
10.12.2015,13208.41,13208.41,13195.16
09.12.2015,13251.04,13240.61,13166.64
08.12.2015,13312.22,13657.31,13307.64
07.12.2015,13737.08,13736.15,13732.46
03.12.2015,13519.08,13508.56,13507.64
02.12.2015,14328.81,14328.81,14325.51
01.12.2015,14282.35,14282.35,14235.29
30.11.2015,14175.57,14175.57,14165.17
26.11.2015,14099.18,14118.04,14094.47
25.11.2015,13744.23,13744.23,13697.15
24.11.2015,13365.27,13364.33,13359.63
23.11.2015,13656.45,13656.45,13651.75
19.11.2015,13605.44,13584.01,13582.15
18.11.2015,13751.06,13751.06,13741.68
17.11.2015,13901.93,13945.14,13878.45
16.11.2015,13892.01,13892.01,13849.90
12.11.2015,13559.40,13558.48,13554.77
11.11.2015,13710.73,13700.04,13664.25
10.11.2015,13609.66,13609.66,13567.70
09.11.2015,13535.76,13534.83,13531.11
05.11.2015,13552.00,13552.00,13528.11
04.11.2015,13691.57,13797.39,13686.97
03.11.2015,13677.83,13682.39,13674.63
02.11.2015,13553.40,13553.40,13529.79
29.10.2015,13654.56,13654.56,13650.01
28.10.2015,13979.87,13998.17,13950.14
27.10.2015,14081.89,14087.33,14079.63
26.10.2015,14199.15,14198.25,14153.93
22.10.2015,14385.41,14384.51,14362.90
21.10.2015,14132.64,14131.76,14066.50
20.10.2015,14077.37,14076.49,14055.34
19.10.2015,14120.55,14119.67,14076.43
15.10.2015,14275.04,14279.44,14235.50
14.10.2015,13850.17,13871.95,13838.41
13.10.2015,14192.22,14188.70,14143.90
12.10.2015,14198.29,14188.17,14176.28
08.10.2015,14185.65,14274.32,14162.60
07.10.2015,14484.69,14474.46,14473.57
06.10.2015,14082.32,14061.92,13992.73
05.10.2015,14018.78,14027.72,14016.54
01.10.2015,14008.04,14007.60,13911.53
30.09.2015,13926.43,14051.73,13916.58
29.09.2015,14041.95,14041.95,14029.95
28.09.2015,13697.41,13693.85,13632.48
24.09.2015,13732.33,13732.33,13686.71
23.09.2015,13494.19,13493.30,13471.85
22.09.2015,13523.23,13523.23,13500.76
21.09.2015,13717.61,13716.71,13617.52
17.09.2015,13661.44,13661.44,13638.67
16.09.2015,14068.04,14085.75,13997.17
15.09.2015,13890.12,13980.65,13867.05
14.09.2015,14180.29,14179.85,14087.49
10.09.2015,13879.78,13878.45,13875.34
